Key,Value_Length,Read_Duration
lorem_585,4322,0.0005080699920654297
lorem_590,4371,1.6927719116210938e-05
lorem_595,4436,1.4066696166992188e-05
lorem_600,4447,1.4066696166992188e-05
lorem_605,4516,1.3113021850585938e-05
lorem_610,4506,0.0010118484497070312
lorem_615,4600,1.7881393432617188e-05
lorem_620,4578,1.2874603271484375e-05
lorem_625,4652,1.2874603271484375e-05
lorem_630,4668,0.0007309913635253906
lorem_635,4674,1.71661376953125e-05
lorem_640,4742,1.430511474609375e-05
lorem_645,4788,1.3113021850585938e-05
lorem_650,4814,1.1920928955078125e-05
lorem_655,4853,1.3113021850585938e-05
lorem_660,4891,1.2159347534179688e-05
lorem_665,4895,0.0008897781372070312
lorem_670,4988,1.71661376953125e-05
lorem_675,5031,1.3828277587890625e-05
lorem_680,5055,1.2874603271484375e-05
lorem_685,5066,0.0007429122924804688
lorem_690,5126,0.0004887580871582031
lorem_695,5158,1.811981201171875e-05
lorem_700,5177,1.4066696166992188e-05
lorem_705,5253,1.4066696166992188e-05
lorem_710,5271,0.000492095947265625
lorem_715,5318,1.6927719116210938e-05
lorem_720,5353,0.0006189346313476562
lorem_725,5378,1.6927719116210938e-05
lorem_730,5417,0.0008289813995361328
lorem_735,5455,1.71661376953125e-05
lorem_740,5501,1.3828277587890625e-05
lorem_745,5525,0.0008559226989746094
lorem_750,5569,2.002716064453125e-05
lorem_755,5619,1.4066696166992188e-05
lorem_760,5635,1.3113021850585938e-05
lorem_765,5691,1.3113021850585938e-05
lorem_770,5711,1.3113021850585938e-05
lorem_775,5715,0.0009648799896240234
lorem_780,5799,1.7881393432617188e-05
lorem_785,5801,1.2874603271484375e-05
lorem_790,5846,1.3113021850585938e-05
lorem_795,5878,1.2159347534179688e-05
lorem_800,5950,1.2159347534179688e-05
lorem_805,6002,1.1920928955078125e-05
lorem_810,6011,1.3113021850585938e-05
lorem_815,6045,0.000518798828125
lorem_820,6054,0.0007741451263427734
lorem_825,6110,0.0005397796630859375
lorem_830,6173,1.7881393432617188e-05
lorem_835,6216,1.3113021850585938e-05
lorem_840,6217,1.4066696166992188e-05
lorem_845,6259,1.3113021850585938e-05
lorem_850,6322,1.2874603271484375e-05
lorem_855,6336,1.2874603271484375e-05
lorem_860,6366,1.3113021850585938e-05
lorem_865,6406,1.3113021850585938e-05
lorem_870,6485,1.2874603271484375e-05
lorem_875,6496,1.2874603271484375e-05
lorem_880,6508,1.2159347534179688e-05
lorem_885,6565,0.0005490779876708984
lorem_890,6614,2.09808349609375e-05
lorem_895,6628,1.4781951904296875e-05
lorem_900,6689,1.4066696166992188e-05
lorem_905,6728,1.3828277587890625e-05
lorem_910,6754,0.0005559921264648438
lorem_915,6782,1.6927719116210938e-05
lorem_920,6827,0.0008320808410644531
lorem_925,6858,0.0007631778717041016
lorem_930,6912,2.09808349609375e-05
lorem_935,6928,1.4781951904296875e-05
lorem_940,6990,0.0007760524749755859
lorem_945,7011,1.6927719116210938e-05
lorem_950,7044,1.4066696166992188e-05
lorem_955,7087,1.3113021850585938e-05
lorem_960,7114,0.0008091926574707031
lorem_965,7175,1.8835067749023438e-05
lorem_970,7232,1.5020370483398438e-05
lorem_975,7233,1.4066696166992188e-05
lorem_980,7268,1.2874603271484375e-05
lorem_985,7301,0.0005061626434326172
lorem_990,7351,1.71661376953125e-05
lorem_995,7390,1.2874603271484375e-05
lorem_1000,7399,1.4066696166992188e-05
lorem_0,0,0.00022101402282714844
lorem_5,32,6.699562072753906e-05
lorem_10,71,9.965896606445312e-05
lorem_15,113,3.719329833984375e-05
lorem_20,161,3.600120544433594e-05
lorem_25,200,3.62396240234375e-05
lorem_30,214,3.409385681152344e-05
lorem_35,235,3.504753112792969e-05
lorem_40,297,3.409385681152344e-05
lorem_45,338,3.409385681152344e-05
lorem_50,347,3.600120544433594e-05
lorem_55,385,4.792213439941406e-05
lorem_60,423,0.0017659664154052734
lorem_65,524,4.1961669921875e-05
lorem_70,529,7.390975952148438e-05
lorem_75,566,0.0013608932495117188
lorem_80,595,4.38690185546875e-05
lorem_85,651,2.9325485229492188e-05
lorem_90,651,2.47955322265625e-05
lorem_95,698,2.5272369384765625e-05
lorem_100,752,2.4080276489257812e-05
lorem_105,773,2.47955322265625e-05
lorem_110,812,2.4080276489257812e-05
lorem_115,816,2.4080276489257812e-05
lorem_120,846,2.3126602172851562e-05
lorem_125,909,2.384185791015625e-05
lorem_130,943,2.4080276489257812e-05
lorem_135,1021,0.0009510517120361328
lorem_140,1043,4.100799560546875e-05
lorem_145,1076,2.9087066650390625e-05
lorem_150,1096,2.6941299438476562e-05
lorem_155,1166,2.4080276489257812e-05
lorem_160,1181,0.0009241104125976562
lorem_165,1230,3.814697265625e-05
lorem_170,1246,2.7894973754882812e-05
lorem_175,1305,2.6941299438476562e-05
lorem_180,1335,2.47955322265625e-05
lorem_185,1364,2.288818359375e-05
lorem_190,1406,2.3126602172851562e-05
lorem_195,1447,2.4080276489257812e-05
lorem_200,1476,2.288818359375e-05
lorem_205,1510,2.384185791015625e-05
lorem_210,1558,2.3126602172851562e-05
lorem_215,1590,2.384185791015625e-05
lorem_220,1658,2.384185791015625e-05
lorem_225,1685,2.384185791015625e-05
lorem_230,1708,2.288818359375e-05
lorem_235,1757,2.4080276489257812e-05
lorem_240,1802,0.0008833408355712891
lorem_245,1819,3.266334533691406e-05
lorem_250,1846,0.0008530616760253906
lorem_255,1874,3.5762786865234375e-05
lorem_260,1927,2.6226043701171875e-05
lorem_265,1948,2.6226043701171875e-05
lorem_270,2004,2.4080276489257812e-05
lorem_275,2030,2.384185791015625e-05
lorem_280,2067,2.384185791015625e-05
lorem_285,2106,2.4080276489257812e-05
lorem_290,2128,2.288818359375e-05
lorem_295,2218,2.4080276489257812e-05
lorem_300,2241,0.0007660388946533203
lorem_305,2262,2.6226043701171875e-05
lorem_310,2318,2.09808349609375e-05
lorem_315,2303,1.9788742065429688e-05
lorem_320,2360,0.0007131099700927734
lorem_325,2410,0.0006840229034423828
lorem_330,2441,2.574920654296875e-05
lorem_335,2483,0.0007181167602539062
lorem_340,2536,0.0007050037384033203
lorem_345,2560,2.7894973754882812e-05
lorem_350,2599,2.193450927734375e-05
lorem_355,2636,2.09808349609375e-05
lorem_360,2675,2.09808349609375e-05
lorem_365,2709,2.002716064453125e-05
