Key,Value_Length,Write_Duration
lorem_0,0,0.006041765213012695
lorem_5,47,0.003983974456787109
lorem_10,63,0.0027120113372802734
lorem_15,109,0.002974987030029297
lorem_20,138,0.0022780895233154297
lorem_25,187,0.002187013626098633
lorem_30,215,0.0021848678588867188
lorem_35,283,0.0021941661834716797
lorem_40,310,0.002009868621826172
lorem_45,341,0.0020380020141601562
lorem_50,351,0.0018377304077148438
lorem_55,379,0.0018610954284667969
lorem_60,453,0.001909017562866211
lorem_65,470,0.002061128616333008
lorem_70,542,0.0016429424285888672
lorem_75,543,0.0016090869903564453
lorem_80,602,0.0015988349914550781
lorem_85,651,0.0018470287322998047
lorem_90,639,0.0015532970428466797
lorem_95,677,0.0014581680297851562
lorem_100,758,0.0014641284942626953
lorem_105,796,0.0014410018920898438
lorem_110,803,0.0015289783477783203
lorem_115,849,0.0014472007751464844
lorem_120,906,0.0016148090362548828
lorem_125,937,0.0014562606811523438
lorem_130,948,0.0014798641204833984
lorem_135,1000,0.0016140937805175781
lorem_140,1019,0.0014851093292236328
lorem_145,1068,0.0015311241149902344
lorem_150,1119,0.0015869140625
lorem_155,1136,0.0015377998352050781
lorem_160,1177,0.001567840576171875
lorem_165,1214,0.0018219947814941406
lorem_170,1269,0.001516103744506836
lorem_175,1299,0.0014941692352294922
lorem_180,1339,0.0015158653259277344
lorem_185,1373,0.0015559196472167969
lorem_190,1402,0.0015568733215332031
lorem_195,1461,0.0015079975128173828
lorem_200,1479,0.0015759468078613281
lorem_205,1512,0.001508951187133789
lorem_210,1560,0.0015380382537841797
lorem_215,1588,0.001474142074584961
lorem_220,1649,0.0018000602722167969
lorem_225,1660,0.0015218257904052734
lorem_230,1723,0.0014851093292236328
lorem_235,1730,0.001547098159790039
lorem_240,1752,0.0015439987182617188
lorem_245,1851,0.0015239715576171875
lorem_250,1840,0.0015981197357177734
lorem_255,1889,0.0017690658569335938
lorem_260,1940,0.0016582012176513672
lorem_265,1946,0.0015788078308105469
