File_Name,File_Size,Number_Chunks,Read_Duration
1_24kb,11669,2,0.0001480579376220703
2_360kb,17024,3,0.00011897087097167969
3_2mb,1816172,240,0.0042989253997802734
4_10mb,969865,119,0.0015201568603515625
5_15mb,1548020,214,0.0025048255920410156
6_18mb,1691019,233,0.0027790069580078125
7_19mb,1997361,250,0.002917766571044922
