Key,Value_Length,Read_Duration
lorem_435,3244,2.5272369384765625e-05
lorem_440,3269,2.384185791015625e-05
lorem_445,3295,2.384185791015625e-05
lorem_450,3339,2.3126602172851562e-05
lorem_455,3377,2.4080276489257812e-05
lorem_460,3421,2.288818359375e-05
lorem_465,3454,2.288818359375e-05
lorem_470,3451,2.4080276489257812e-05
lorem_475,3542,2.4080276489257812e-05
lorem_480,3537,2.5987625122070312e-05
lorem_485,3601,2.288818359375e-05
lorem_490,3644,2.5033950805664062e-05
lorem_495,3680,2.288818359375e-05
lorem_500,3705,2.4080276489257812e-05
lorem_505,3769,2.384185791015625e-05
lorem_510,3787,2.2649765014648438e-05
lorem_515,3814,2.288818359375e-05
lorem_520,3862,2.4080276489257812e-05
lorem_525,3892,2.288818359375e-05
lorem_530,3926,2.574920654296875e-05
lorem_535,3971,2.574920654296875e-05
lorem_540,4002,2.384185791015625e-05
lorem_545,4049,2.6941299438476562e-05
lorem_550,4087,2.4080276489257812e-05
lorem_555,4129,2.3126602172851562e-05
lorem_560,4151,2.3126602172851562e-05
lorem_565,4184,2.5033950805664062e-05
lorem_570,4225,2.4080276489257812e-05
lorem_575,4279,2.4080276489257812e-05
lorem_580,4279,2.47955322265625e-05
lorem_585,4339,2.5272369384765625e-05
lorem_590,4380,2.4080276489257812e-05
lorem_595,4410,2.384185791015625e-05
lorem_600,4453,2.574920654296875e-05
lorem_605,4499,2.384185791015625e-05
lorem_610,4530,2.384185791015625e-05
lorem_615,4571,2.4080276489257812e-05
lorem_620,4601,2.3126602172851562e-05
lorem_625,4623,2.4080276489257812e-05
lorem_630,4681,2.3126602172851562e-05
lorem_635,4710,2.6226043701171875e-05
lorem_640,4771,2.288818359375e-05
lorem_645,4789,2.4080276489257812e-05
lorem_650,4819,3.2901763916015625e-05
lorem_655,4860,3.0994415283203125e-05
lorem_660,4867,2.4080276489257812e-05
lorem_665,4939,2.4080276489257812e-05
lorem_670,4949,2.4080276489257812e-05
lorem_675,5033,3.1948089599609375e-05
lorem_680,5084,2.5987625122070312e-05
lorem_685,5086,2.4080276489257812e-05
lorem_690,5148,2.6226043701171875e-05
lorem_695,5152,2.4080276489257812e-05
lorem_700,5160,2.4080276489257812e-05
lorem_705,5242,2.5987625122070312e-05
lorem_710,5278,2.5272369384765625e-05
lorem_715,5299,2.6226043701171875e-05
lorem_720,5328,2.4080276489257812e-05
lorem_725,5379,2.4080276489257812e-05
lorem_730,5420,2.384185791015625e-05
lorem_735,5455,2.6226043701171875e-05
lorem_740,5514,2.3126602172851562e-05
lorem_745,5530,2.4080276489257812e-05
lorem_750,5577,2.5272369384765625e-05
lorem_755,5596,2.574920654296875e-05
lorem_760,5648,2.6226043701171875e-05
lorem_765,5689,2.3126602172851562e-05
lorem_770,5722,2.4080276489257812e-05
lorem_775,5750,2.6226043701171875e-05
lorem_780,5803,2.6226043701171875e-05
lorem_785,5815,2.47955322265625e-05
lorem_790,5880,2.4080276489257812e-05
lorem_795,5919,2.5987625122070312e-05
lorem_800,5961,2.4080276489257812e-05
lorem_805,5975,2.5033950805664062e-05
lorem_810,5986,2.4080276489257812e-05
lorem_815,6004,2.4080276489257812e-05
lorem_820,6085,2.288818359375e-05
lorem_825,6131,2.574920654296875e-05
lorem_830,6170,2.6226043701171875e-05
lorem_835,6214,2.5987625122070312e-05
lorem_840,6242,2.09808349609375e-05
lorem_845,6257,2.3126602172851562e-05
lorem_850,6280,2.002716064453125e-05
lorem_855,6351,2.0265579223632812e-05
lorem_860,6410,1.9788742065429688e-05
lorem_865,6405,2.3126602172851562e-05
lorem_870,6446,2.002716064453125e-05
