File_Name,File_Size,Number_Chunks,Read_Duration
1_24kb,11669,2,0.0004029273986816406
2_360kb,17024,3,8.606910705566406e-05
3_2mb,1816172,240,0.004932880401611328
4_10mb,969865,119,0.0013499259948730469
5_15mb,1548020,214,0.00251007080078125
6_18mb,1691019,233,0.002701997756958008
7_19mb,1997361,250,0.002836942672729492
