File_Name,File_Size,Number_Chunks,Average_Chunk_Size,Number_Bytes,Write_Duration,,,,
1_24kb,24206,2,5854.5,11709,0.006753922,,,,
2_360kb,361042,3,6582,19746,0.006783009,,,,
3_2mb,2308798,240,7989.966666666666,1917592,0.35334181785583496,,,,
4_10mb,10586026,119,7998.924369747899,951872,0.17479920387268066,,,,
5_15mb,14787751,214,7983.869158878505,1708548,0.315979004,,,,
6_18mb,17937264,233,7996.8197424892705,1863259,0.3397812843322754,,,,
7_19mb,18815770,250,7979.256,1994814,0.36426806449890137,,,,
