Key,Value_Length,Write_Duration
lorem_0,0,0.0037529468536376953
lorem_5,49,0.003593921661376953
lorem_10,75,0.0030231475830078125
lorem_15,120,0.0025010108947753906
lorem_20,163,0.002289295196533203
lorem_25,164,0.0023839473724365234
lorem_30,201,0.001971006393432617
lorem_35,253,0.0018868446350097656
lorem_40,282,0.0019681453704833984
lorem_45,333,0.0019469261169433594
lorem_50,384,0.001878976821899414
lorem_55,440,0.0018601417541503906
lorem_60,434,0.0022449493408203125
lorem_65,495,0.0017361640930175781
lorem_70,543,0.0017590522766113281
lorem_75,536,0.0018639564514160156
lorem_80,603,0.0015828609466552734
lorem_85,609,0.001474142074584961
lorem_90,659,0.001508951187133789
lorem_95,702,0.0014982223510742188
lorem_100,760,0.001447916030883789
lorem_105,792,0.0014820098876953125
lorem_110,773,0.0013871192932128906
lorem_115,864,0.0012941360473632812
lorem_120,890,0.001299142837524414
lorem_125,949,0.0013308525085449219
lorem_130,980,0.0013270378112792969
lorem_135,1013,0.0013079643249511719
lorem_140,1026,0.0013458728790283203
lorem_145,1080,0.0013840198516845703
lorem_150,1095,0.0014522075653076172
lorem_155,1145,0.001363992691040039
lorem_160,1184,0.0013928413391113281
lorem_165,1217,0.0014050006866455078
lorem_170,1247,0.0014150142669677734
lorem_175,1294,0.0013670921325683594
lorem_180,1340,0.0013797283172607422
lorem_185,1371,0.001435995101928711
lorem_190,1432,0.0014319419860839844
lorem_195,1454,0.0013909339904785156
lorem_200,1502,0.001355886459350586
lorem_205,1542,0.0013897418975830078
lorem_210,1557,0.001306772232055664
lorem_215,1596,0.0013668537139892578
lorem_220,1621,0.0014009475708007812
lorem_225,1680,0.001359701156616211
lorem_230,1706,0.0014247894287109375
lorem_235,1729,0.0014469623565673828
lorem_240,1747,0.0014278888702392578
lorem_245,1823,0.001416921615600586
lorem_250,1856,0.0013871192932128906
lorem_255,1884,0.0013840198516845703
lorem_260,1940,0.001399993896484375
lorem_265,1955,0.0013701915740966797
lorem_270,2026,0.0013861656188964844
lorem_275,2031,0.0013349056243896484
lorem_280,2096,0.0013861656188964844
lorem_285,2121,0.0013911724090576172
lorem_290,2154,0.0014040470123291016
lorem_295,2175,0.0013802051544189453
lorem_300,2250,0.001455068588256836
lorem_305,2275,0.0014240741729736328
lorem_310,2312,0.001363992691040039
lorem_315,2315,0.0013439655303955078
lorem_320,2382,0.0013539791107177734
lorem_325,2406,0.0013921260833740234
lorem_330,2457,0.001399993896484375
lorem_335,2473,0.0013802051544189453
lorem_340,2540,0.0013880729675292969
lorem_345,2559,0.0014030933380126953
lorem_350,2607,0.0013849735260009766
lorem_355,2638,0.0013549327850341797
lorem_360,2671,0.001371145248413086
lorem_365,2704,0.0013270378112792969
lorem_370,2751,0.0013802051544189453
lorem_375,2785,0.0013623237609863281
lorem_380,2813,0.0013699531555175781
lorem_385,2855,0.0013587474822998047
lorem_390,2892,0.0014121532440185547
lorem_395,2920,0.001378774642944336
lorem_400,2960,0.0013451576232910156
lorem_405,3025,0.0013670921325683594
lorem_410,3044,0.001425027847290039
lorem_415,3088,0.0014181137084960938
lorem_420,3088,0.0013630390167236328
lorem_425,3146,0.0014307498931884766
lorem_430,3191,0.0014331340789794922
lorem_435,3244,0.001409769058227539
lorem_440,3269,0.0013570785522460938
lorem_445,3295,0.001379251480102539
lorem_450,3339,0.0013689994812011719
lorem_455,3377,0.0014090538024902344
lorem_460,3421,0.001402139663696289
lorem_465,3454,0.0014071464538574219
lorem_470,3451,0.0013241767883300781
lorem_475,3542,0.0013623237609863281
lorem_480,3537,0.0014033317565917969
lorem_485,3601,0.0013768672943115234
lorem_490,3644,0.0014357566833496094
lorem_495,3680,0.0013959407806396484
lorem_500,3705,0.0013740062713623047
lorem_505,3769,0.0013899803161621094
lorem_510,3787,0.0013720989227294922
lorem_515,3814,0.0013680458068847656
lorem_520,3862,0.0014171600341796875
