Key,Value_Length,Write_Duration
lorem_0,0,0.004152059555053711
lorem_5,32,0.001955747604370117
lorem_10,71,0.0021898746490478516
lorem_15,113,0.0019719600677490234
lorem_20,161,0.0015721321105957031
lorem_25,200,0.0017368793487548828
lorem_30,214,0.0017902851104736328
lorem_35,235,0.0015480518341064453
lorem_40,297,0.0012688636779785156
lorem_45,338,0.0013298988342285156
lorem_50,347,0.0013129711151123047
lorem_55,385,0.0019719600677490234
lorem_60,423,0.0013298988342285156
lorem_65,524,0.0012531280517578125
lorem_70,529,0.0012941360473632812
lorem_75,566,0.001280069351196289
lorem_80,595,0.001088857650756836
lorem_85,651,0.0012011528015136719
lorem_90,651,0.00115203857421875
lorem_95,698,0.0012710094451904297
lorem_100,752,0.0011761188507080078
lorem_105,773,0.0012781620025634766
lorem_110,812,0.0014371871948242188
lorem_115,816,0.001069784164428711
lorem_120,846,0.0011720657348632812
lorem_125,909,0.0010089874267578125
lorem_130,943,0.0011167526245117188
lorem_135,1021,0.0009920597076416016
lorem_140,1043,0.0010399818420410156
lorem_145,1076,0.001007080078125
lorem_150,1096,0.000972747802734375
lorem_155,1166,0.0009469985961914062
lorem_160,1181,0.0009181499481201172
lorem_165,1230,0.001043081283569336
lorem_170,1246,0.0009462833404541016
lorem_175,1305,0.0010328292846679688
lorem_180,1335,0.0009088516235351562
lorem_185,1364,0.0009059906005859375
lorem_190,1406,0.0009200572967529297
lorem_195,1447,0.0009200572967529297
lorem_200,1476,0.0010249614715576172
lorem_205,1510,0.0009479522705078125
lorem_210,1558,0.0009021759033203125
lorem_215,1590,0.0008661746978759766
lorem_220,1658,0.001009225845336914
lorem_225,1685,0.0009441375732421875
lorem_230,1708,0.0008580684661865234
lorem_235,1757,0.0008840560913085938
lorem_240,1802,0.0009248256683349609
lorem_245,1819,0.0009441375732421875
lorem_250,1846,0.0008966922760009766
lorem_255,1874,0.0009541511535644531
lorem_260,1927,0.0011467933654785156
lorem_265,1948,0.0009441375732421875
lorem_270,2004,0.0010097026824951172
lorem_275,2030,0.0008921623229980469
lorem_280,2067,0.0010187625885009766
lorem_285,2106,0.000926971435546875
lorem_290,2128,0.0008981227874755859
lorem_295,2218,0.0008630752563476562
lorem_300,2241,0.0008478164672851562
lorem_305,2262,0.0010831356048583984
lorem_310,2318,0.0009331703186035156
lorem_315,2303,0.0009222030639648438
lorem_320,2360,0.0010502338409423828
lorem_325,2410,0.0009329319000244141
lorem_330,2441,0.0009012222290039062
lorem_335,2483,0.0009140968322753906
lorem_340,2536,0.0009071826934814453
lorem_345,2560,0.000926971435546875
lorem_350,2599,0.0008871555328369141
